iter	Logloss
0	0.5405242052
1	0.4433728755
2	0.3802826526
3	0.3410667555
4	0.3153787443
5	0.297665581
6	0.2869880361
7	0.2783548903
8	0.2725982157
9	0.2684360039
10	0.2655688317
11	0.2634373275
12	0.2613711918
13	0.2598789946
14	0.2589231076
15	0.2582219242
16	0.2578016848
17	0.2572069877
18	0.2567330619
19	0.2563845514
20	0.2561767392
21	0.2558219972
22	0.2555545697
23	0.2553907325
24	0.2552233991
25	0.2551055976
26	0.2549456089
27	0.2547332879
28	0.2546623758
29	0.2543384495
30	0.2542618116
31	0.2540904399
32	0.2539951219
33	0.2537933582
34	0.2536889036
35	0.2536293969
36	0.2536213944
37	0.2535380314
38	0.253445175
39	0.2533864414
40	0.2532365008
41	0.2530881886
42	0.2530419127
43	0.2530066918
44	0.2528555793
45	0.2528172943
46	0.2527742885
47	0.2526966302
48	0.2526416199
49	0.2525206035
50	0.2524091561
51	0.2522592737
52	0.2522217462
53	0.252190714
54	0.2521604485
55	0.2521402224
56	0.2521045123
57	0.2520626121
58	0.2520118058
59	0.2518890151
60	0.2518019296
61	0.2517683044
62	0.251719645
63	0.2516917625
64	0.2515861237
65	0.2515589639
66	0.251442555
67	0.2514169687
68	0.2513678034
69	0.2513141506
70	0.2512482396
71	0.2511065022
72	0.2510342566
73	0.2510047555
74	0.2509201299
75	0.2508774006
76	0.2508591418
77	0.2508219479
78	0.2507952302
79	0.2507498262
80	0.2507035838
81	0.2506749162
82	0.2505937623
83	0.2505428151
84	0.2504736181
85	0.2504076814
86	0.2503737132
87	0.2502958505
88	0.2502140048
89	0.2501558593
90	0.2501027707
91	0.2500768846
92	0.2500549206
93	0.2499614522
94	0.2499212979
95	0.2499003309
96	0.2498139164
97	0.2498020972
98	0.2496336764
99	0.2495960059
100	0.2495558627
101	0.2494646259
102	0.2494160197
103	0.2493820891
104	0.249344827
105	0.2492810588
106	0.2491761896
107	0.2491156223
108	0.2490277036
109	0.2488686286
110	0.2487616685
111	0.2487431551
112	0.2487217383
113	0.2486142184
114	0.2485387665
115	0.2484925726
116	0.2484507969
117	0.2483308836
118	0.2482574865
119	0.2482327302
120	0.2481647691
121	0.2481365807
122	0.248098185
123	0.2480195899
124	0.247990839
125	0.2479624663
126	0.2479612505
127	0.2479612468
128	0.2479236584
129	0.2478349702
130	0.2477859429
131	0.2477518781
132	0.2477139669
133	0.2475977825
134	0.2475881784
135	0.2475881045
136	0.2475660558
137	0.2474862887
138	0.2474537
139	0.2474193207
140	0.2473977699
141	0.2473609731
142	0.2473249644
143	0.2472129047
144	0.247188965
145	0.2471694606
146	0.247096252
147	0.2470650257
148	0.2470418042
149	0.2469882184
150	0.2469688627
151	0.2469463087
152	0.24692802
153	0.2468441471
154	0.2467943921
155	0.2467480435
156	0.2467181943
157	0.2466825568
158	0.2466416979
159	0.2466233451
160	0.2465822394
161	0.2465533768
162	0.246482503
163	0.2464145049
164	0.2463568866
165	0.2463325984
166	0.246294169
167	0.2462861758
168	0.2462418505
169	0.2461704338
170	0.2461207664
171	0.2460591233
172	0.2460482751
173	0.2460090858
174	0.2459871158
175	0.2459564519
176	0.2459105373
177	0.2458998652
178	0.2458961599
179	0.2458716495
180	0.2458397111
181	0.2457754593
182	0.2457616456
183	0.2457379873
184	0.2457084588
185	0.2456678196
186	0.2456405816
187	0.2456167135
188	0.2455593333
189	0.2455349065
190	0.2455073471
191	0.2454566143
192	0.245425227
193	0.2453623505
194	0.2453265683
195	0.2453132706
196	0.2452821429
197	0.2452428365
198	0.2452055565
199	0.2451573716
200	0.2451505218
201	0.2451129963
202	0.2451085364
203	0.2450595357
204	0.2450507907
205	0.2450124672
206	0.2449834323
207	0.2449540769
208	0.2449475853
209	0.244904399
210	0.2448818743
211	0.2448600884
212	0.2448325606
213	0.2448062338
214	0.2448060296
215	0.2447966281
216	0.2447819474
217	0.2447485774
218	0.2447260917
219	0.2447198936
220	0.2446864095
221	0.2446719601
222	0.244619562
223	0.2445926608
224	0.2445475417
225	0.2445154391
226	0.2444952851
227	0.2444714666
228	0.244444419
229	0.2444345117
230	0.2444096844
231	0.2443884599
232	0.2443561914
233	0.2443520895
234	0.24431818
235	0.2442875588
236	0.244257718
237	0.2442419597
238	0.2442076998
239	0.2441804227
240	0.2441612697
